Natuknica,Stranica,Tekst,Prilog,Vez
"ABRAMIĆ, Mihovil",4,"<strong>ABRAMIĆ, Mihovil,</strong> arheolog (Pula, 11. V. 1884&mdash;). Gimnaziju zavr&scaron;io 1902 u Puli, studirao arheologiju, epigrafiku i historiju antike u Beču, doktorirao na temelju disertacije<em> Darstellung der grossen Lichtgottheiten bei den Griechen und R&ouml;mern.</em> Radi studija proputovao Italiju, Grčku, sjev. Afriku i Malu Aziju. God. 1910&mdash;13 radi u arheolo&scaron;kom institutu u Beču; 1913&mdash;19 direktor<em> Museo archeologico</em> u Ogleju<em> (Aquileii),</em> a 1920 zamjenik direktora splitskog Arheolo&scaron;kog muzeja. Poslije umirovljenja F. Bulića preuzima splitski muzej, kojemu je direktor do 1950. Vr&scaron;i arheolo&scaron;ka iskapanja u vi&scaron;e mjesta Panonije; u Ptuju<em> (Poetovio) </em>sudjeluje kod iskapanja mitreja, organizira ant. zbirku ptujskog muzeja. U Dalmaciji radi na iskapanjima u Ninu<em> (Aenona), </em>Solinu<em> (Salona),</em> Čitluku<em> (Aequum),</em> Kistanju<em> (Burnum)</em> i na Visu<em> (Issa).</em> Dao je naučni postav splitskom Arheolo&scaron;kom muzeju. Uređivao je, isprva sa F. Bulićem, a kasnije sam,<em> Vjesnik za arheologiju i historiju dalmatinsku.</em> Sa V. Hoffillerom uredio<em> Bulićev zbornik </em>(<em>Strena Buliciana,</em> Zagreb 1924), a sa G. Novakom <em>Serta Hiffilleriana</em> (Zagreb 1940). Izdao stručni vodič po Poetoviu. Od 1931 dopisni, a od 1947 pravi član JA.<em><br /> </em>BIBL.:<em> Sp&auml;tr&ouml;mische Gr&auml;berfunde in Velm,</em> Jahrbuch f&uuml;r Altertumskunde, 1909;<em> Untersuchungen in Norddalmatien,</em> Jahreshefte des &Ouml;sterreichischen arch&auml;ologischen Institutes, 1909;<em> Zur Geschichte Salonas,</em> Forschungen in Salona, 19<em>17; Arch&auml;ologische Funde in Pettau,</em> ibid., 1914;<em> Speculatoresi beneficiarii, </em>Starinar, 1922, str. 57&mdash;64;<em> Militaria Burnensia,</em> Bulićev zbornik, Zagreb 1924, str. 221&mdash;228;<em> Poetovio,</em> Beč 1925;<em> Grčki natpisi iz Solina,</em> VjAHD, 1924&mdash;25, str. 3&mdash;11;<em> O novim miljokazima i rimskim cestama stare Dalmacije,</em> ibid., 1926 &mdash;27, str. 139&mdash;155;<em> Basrelijef sv. Jurja (?) u Žrnovnici,</em> Starohrvatska prosvjeta, 1927, str. 77&mdash;83;<em> Der Sonnenschirm auf dalmatischen und norischen Reliefs</em>, Jahreshefte des &Ouml;sterreichischen arch&auml;ologischen Institutes, 1929;<em> Jedan doprinos k pitanju oblika hrvatske krune,</em> &Scaron;i&scaron;ićev zbornik, Zagreb 1930;<em> L&rsquo;art byzantin en Dalmatie,</em> M&eacute;lange Uspenskij, III, Paris 1930;<em> Ein neues KairosRelief,</em> Jahreshefte des &Ouml;sterreichischen arch&auml;ologischen Institutes, 1930;<em> Opaske o nekim spomenicima starog Poetovija,</em> Časopis za zgodovino in narodopisje, 1933, str. 129&mdash;144;<em> O predstavama Ilira na antiknim spomenicima,</em> ibid., 1937, str. 7&mdash;19;<em> Brončano poprsje iz okolice sv. Jurja uz Južnu željeznicu,</em> Brun&scaron;midov zbornik, Zagreb 1938, str. 49&mdash;54;<em> Novi votivni relijefi okonjenih božanstava iz Dalmacije,</em> Hoffillerov zbornik, Zagreb 1940, str. 279&mdash;307;<em> Zapadna nekropola antikne Salone,</em> VjAHD, 1935&mdash;49, str. 1&mdash;18;<em> Tyche (Fortuna) Salonićana &mdash; Grb starodrevnog grada Salone,</em> ibid., str. 279&mdash;289;<em> Arheolo&scaron;ka istraživanja grčke kolonije Issa na otoku Visu,</em> Ljetopis JA, 1949, 55, str. 9&mdash;15;<em> Felix Aquileia,</em> Studi Aquileiesi offerti a Giovanni Brusin, 1953;<em> Ein neues FortunaAlt&auml;rchen aus Mogontiacum,</em> Germania, 1953.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Z. &Scaron;a.<br /> LIT.:<em> F. &Scaron;i&scaron;ić,</em> Dr. Mihovil Abramić, Ljetopis JA, 1932, 44, str. 88&mdash;90.",,1
"ABRAMOVIĆ, Ante",4,"<strong>ABRAMOVIĆ, Ante,</strong> slikar (Posavski Podgajci, kotar Županja, 17. V. 1903&mdash;). Prva uputstva o slikarstvu dobio u Zagrebu od E. Toma&scaron;evića i O. Postružnika, zatim pre&scaron;ao u Beograd u Umetničku &scaron;kolu (1928&mdash;34). Priredio dve kolektivne izložbe u Beogradu (1940 i 1952). Izlaže redovno na<em> ULUSovi</em>m izložbama. Radi uglavnom u impresionističkom duhu. Karakteristična mu je paleta, kojom dominira ljubičast ton. Izuzetno se približava fauvizmu. Slika pejzaž, portret i mrtvu prirodu, retko kompoziciju. Prof. Vi&scaron;e pedago&scaron;ke &scaron;kole u Beogradu.<em><br /> </em>LIT.: Kolektivna izložba slika Ante Abramovića, Politika, 16. XII. 1940. &mdash; <em>P. Vasić,</em> Pejzaži i portreti Ante Abramovića, ibid., 8. XI. 1951. &mdash;<em> A. Čelebonović,</em> Izložba slika Ante Abramovića, Borba, 9. XI. 1952. &mdash;<em> M. B. Protić, </em>Izložba Ante Abramovića, NIN, 9. XI. 1952. &mdash;<em> Đ. Popović,</em> Izložbe u Oktobru, A. Abramović, Republika, 18. XI. 1952.&nbsp;&nbsp;&nbsp;&nbsp; Mi. Pr.",,1
"ABRAMOWICZ, Bronisław",4,"<strong>ABRAMOWICZ, Bronisław,</strong> poljski slikar (Zaluch&oacute;w, 1837&mdash;?). Studirao u Var&scaron;avi, M&uuml;nchenu, Beču i kod J. Matejka u Krakovu, gdje živi i izlaže od 1868. Na način Matejkova akademskog romantizma slika hist. kompozicije, genre, likove u nar. no&scaron;njama, prizore iz lova i života u &scaron;umi, te portrete.",,1
"ÁBRÁNYI, Lajos",4,"<strong>&Aacute;BR&Aacute;NYI, Lajos,</strong> madžarski slikar (Budimpe&scaron;ta, 1849&mdash;1901). Studirao u M&uuml;nchenu i Parizu, gdje je bio učenik L.-J.-F. Bonnata. Slikar reprezentativnih portreta madž. feudalaca u t. zv. magnatskoj gali.",,1
"ABRESCH, Franz",4,"<strong>ABRESCH, Franz,</strong> njemački grafičar XIX<em> st.,</em> učenik C. L. Frommela. Izradio u tehnici urezivanja u čeličnu ploču<em> (Stahlstich)</em> pejzaže, marine i ilustracije za izdanja: W. Tombleson, <em>Views of the Rhine,</em> 1832, zatim za<em> Das malerische und romantische Deutschland</em> i<em> Wiesbaden und Umgebung,</em> 1841.",,1
ABREVIJATURA,4,"<strong>ABREVIJATURA</strong> (lat.<em> abbreviatio</em>), kratica, kraćenje u pisanju riječi u epigrafskim tekstovima. Kraćenja se redovno vr&scaron;e tako, da se navode samo početna slova pojedinih riječi, na pr. <em>D. M. S. &mdash; D(is) M(anibus) S(acrum)</em>. Abrevijature su česte u grčkim i rimskim natpisima, u rukopisnim tekstovima, na ikonama i dr.",,1
"ABRY, Léon-Eugène-Auguste",4,"<strong>ABRY, L&eacute;on Eug&egrave;ne Auguste,</strong> belgijski slikar, crtač i grafičar (Antwerpen, 6. III. 1857 &mdash; 6. XI. 1905). Slikar hist. kompozicija, genrea, portreta i prizora iz vojničkog života. Dokumentaran ilustrator.",,1
ABSTRACTION-CRÉATION,4,"<strong>ABSTRACTION-CR&Eacute;ATION,</strong> udruženje evropskih slikara i kipara apstraktnog izraza, koje se formiralo 15. II. 1931 u Parizu. Udruženje je izdavalo almanah (između 1932 i 1936), organiziralo izložbe, a povremeno je imalo i do 400 članova. Inicijatori i osnivači su braća A. Pevsner i Naum Gabo, te A. Herbin i G. Vantongerloo; od istaknutih umjetnika pridružili su im se V. Kandinski, P. Mondrian, H. Arp, M. Bill, R. Delaunay, A. Gleizes, F. Kupka, L. MoholyNagy, B. Nicholson, E. Prampolini, T. van Doesburg i dr. Različiti pravci, koji su se dotad očitovali u okviru nefiguralne umjetnosti (kao apstraktni ekspresionizam Kandinskog, apsolutno slikarstvo grupe<em> De Stijl,</em> biomorfne konkretizacije H. Arpa ili romantični konstruktivizam rus. slikara) međusobno su se unutar grupe<em> A.C.</em> prožimali i utjecali jedni na druge, no ideja o stilskoj sintezi ostala je neostvariva zbog heterogenog sastava udruženja.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; B. Ho.",,1
ABU MINA,4,"<strong>ABU MINA,</strong> &raquo;grad Menasa&laquo; u Egiptu. Mjesto je poznato po hodoča&scaron;ćima crkvi posvećenoj sv. Menasu. Iz nepotpunih iskapanja poznate su ranokr&scaron;ćanske građevine: sepulkralna bazilika iz vremena Teodozija (IV<em> st.</em>)<em>,</em> gdje je bilo mjesto predviđeno za martyrion; bazilika sa transeptom građena za Arkadija (395&mdash;408); jedan veliki baptisterij; dvije bazilike, od kojih je jedna cimiterijalna.",,1
ABU SIMBEL,4,"<strong>ABU SIMBEL</strong> (danas<strong> Ipsambul</strong>), mjesto u Egiptu između prvog i drugog katarakta Nila sa dva hrama u pećinama iz doba Ramzesa II (oko &larr;1292 do &larr;1225). Na ulazu u veliki Amonov hram nalaze se četiri gorostasna lika Ramzesa II, isklesana u pećini. Po svojim likovnim obilježjima oni pripadaju umjetničkom krugu Novog egipat. carstva. Karakteristika ostvarenja toga kruga, koja se očituje i kod kipova Amenofisa III (Memnonovi kolosi), jest porast u dimenzijama figura, ali i gubitak unutarnje izražajne snage (u komparaciji sa statuama Kefrena ili Pisara iz doba Staroga carstva). U unutra&scaron;njosti abusimbelskih pećina nalaze se dvorane, riznice i spremi&scaron;ta s bogatim ukrasima u reljefu. Manji hram posvećen je božici Hator; na njegovu su pročelju kipovi vladara, njegove žene i djeteta.<br /> LIT.: v.<em> Egipat</em>",,1
ABUNDANTIA,5,"<strong>ABUNDANTIA</strong> (lat.<em> obilje</em>), kod Rimljana, personifikacija obilja, koja se na carskim novcima prikazuje u liku žene. Njezin je glavni atribut preokrenuti rog obilja, iz kojega se prosipaju darovi, a kad&scaron;to i klasje žita, &scaron;to ga drži u naručju. A. s rogom obilja ima na novcu simbolički predočiti blagostanje za vladavine pojedinog cara.",,1
ABYDOS,5,"<strong>ABYDOS </strong>(<strong>Abid, Abotu;</strong> grč. <em>Ἄ&beta;&upsilon;&delta;&omicron;&sigmaf;</em>), jedan od najstarijih gradova u gornjem Egiptu, poznat po nekropoli, koja se nalazi kod dana&scaron;njih sela el-Khirbah i el-Arabah el-Madfunah. U Abydosu su se sahranjivali vladari I i II dinastije; tu se, među ostalim, nalazi t. zv. Qsireion, grob kralja Djera iz I dinastije, kasnije smatran grobom Ozirisa, zatim hram Setia I i ru&scaron;evine velikog hrama Ramzesa II (&larr; XIII<em> st.</em>).",,1
ACADÉMIE CARRIÈRE,5,"<strong>ACAD&Eacute;MIE CARRI&Egrave;RE,</strong> slikarska &scaron;kola u Parizu, koju je oko 1898 osnovao i vodio Eug&egrave;ne Carri&egrave;re; prekinula je rad u prvom deceniju XX<em> st.</em> Bila je popularna medu kasnijim fauvistima zbog Carri&egrave;reove podr&scaron;ke mladim slikarima, koje je upućivao i poticao u prvim naporima, premda se s njihovim načinom slikanja nije slagao.",,1
ACADÉMIE JULIAN,5,"<strong>ACAD&Eacute;MIE JULIAN,</strong> slobodna umjetnička &scaron;kola u Parizu; osnovao ju je 1860 slikar Rodolphe Julian. Oko 1888 skupljaju se u njoj budući nabisti (P. Bonnard, E. Vuillard, P. Ranson, F. Valloton), kasnije L. Corinth, H. Matisse i E. Nolde, a poslije 1903 A. Dunoyer de Segonzac, A. Derain, F. L&eacute;ger i M. Duchamp. Značenje je ove renomirane neoficijelne umjetničke &scaron;kole u tome, &scaron;to su u njoj mnogi, kasnije značajni umjetnici, imali mogućnost da izuče m&eacute;tier mimo ustaljenih metoda akademske nastave.",,1
ACADÉMIE RANSON,5,"<strong>ACAD&Eacute;MIE RANSON,</strong> umjetnička &scaron;kola u Parizu, koju je, vođen načelima nabističkog pokreta, osnovao 1908 slikar Paul Ranson. Kao nastavnici na toj akademiji, poznatoj po liberalnom stavu prema svim smjerovima, djelovali su M. Denis, P. S&eacute;rusier, E. Vuillard, M. Kissling, M. Gromaire i dr. Prestala je djelovati za vrijeme Drugoga svjetskog rata.",,1
ACADÉMIE SUISSE,5,"<strong>ACAD&Eacute;MIE SUISSE,</strong> nazvana po biv&scaron;em modelu (zvanom &raquo;le p&egrave;re Suisse&laquo;), koji ju je osnovao u Parizu u prvim decenijama XIX<em> st.</em> Bila je poznata po dobrim modelima, pa su u njoj radili R. P. Bonington, G. Courbet i E. Delacroix. Kasnije se tu okupljaju impresionisti; posjećuje je i C&eacute;zanne. U njoj je u drugoj pol. XIX<em> st.</em> mladim slikarima bilo omogućeno da se izražavaju slobodno i nezavisno od akademskih metoda nastave.",,1
ACCIPIES-drvorez,5,"<strong>ACCIPIES-drvorez,</strong> vrsta grafike nazvana po tekstu na drvorezu nastalom u K&ouml;lnu 1490 &raquo;accipies tanti doctoris dogmata sancti&laquo;. Taj su naziv dobili drvorezi iz druge pol. XV<em> st., </em>na kojima su prikazane &scaron;kolske scene, t. j. učitelj s jednim ili vi&scaron;e učenika. Upotrebljavani su kao naslovne strane &scaron;kolskih knjiga u kasnom Srednjem vijeku u Njemačkoj, Italiji, Engleskoj, Holandiji i t. d. Formiralo se vi&scaron;e kompozicijskih tipova ovih drvoreza, značajnih kod proučavanja inkunabula.",,1
ACCOUDOIR,5,"<strong>ACCOUDOIR </strong>(<strong>accotoir;</strong> franc.; engl.<em> leaningplace,</em> njem. <em>Armlehne, Armst&uuml;tze,</em> tal.<em> appogiatoio</em>), naslon za podlakticu, kojim su postrance ograđene klupe, stolice, naslonjači i balkonske ograde. Na crkvenim klupama u gotici i renesansi a. je, zajedno s naslonom, obično bogato dekoriran duborezom. Primjeri ovakvih rezbarija česti su u drvenom namje&scaron;taju u korovima (prezbiterijima) crkava u na&scaron;im krajevima. Nepoznati majstori izradili su rezbarene klupe u katedralama u Splitu (XIII<em> st.</em>) i u Rabu (XIV<em> st., </em>s gotičkim obilježjima). U katedrali u Trogiru izradio je sjedala s accoudoirima 1440 domaći majstor Ivan Budislavić, a u samostanu benediktinka u Zadru 1485 Ivan Korčulanin u prelaznim gotičko-renesansnim formama. Obilježja čiste renesanse imaju drvena korska sjedala u samostanu franjevaca u Hvaru, &scaron;to su ih 1583 izradili Frano Čiočić iz Korčule i Antun Spia iz Zadra.<br /> LIT. :<em> Lj. Karaman,</em> Pregled umjetnosti u Dalmaciji, Zagreb 1952.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; S. Bić.",,1
"ACERO, Vicente",5,"<strong>ACERO, Vicente,</strong> &scaron;panjolski graditelj. Radio u početku XVIII<em> st.</em> kao &raquo;posljednji churriguerrist&laquo;, sljedbenik stila &scaron;panjolskog kićenog baroka (v.<em> Churriguerra, Jos&eacute; de</em>). God. 1720 započeo graditi katedralu u C&aacute;dizu (dovr&scaron;ena 1838). Sudjelovao kod gradnje tvornice duhana u Sevilli. Po njegovim nacrtima izvedeno pročelje katedrale u M&aacute;lagi.",,1
"ACHARD, Jean-Alexis",5,"<strong>ACHARD, Jean-Alexis,</strong> francuski slikar i grafičar (Voreppe, 18. VI. 1807 &mdash; Grenoble, 6. IX. 1884). Slikao i grafički obrađivao pejzažne motive iz franc. provincije pod utjecajem C. Corota.",,1
"ACHEN, Johann von",5,"<strong>ACHEN (Aachen), Johann (Hans) von,</strong> njemački slikar (K&ouml;ln, 1552 &mdash; Prag, 1615). Studira u K&ouml;lnu kod flam. slikara E. Jerriga, a zatim u Italiji. Po povratku radi na dvoru u M&uuml;nchenu, a od 1601 kao komorni slikar Rudolfa II u Pragu. Uz B. Sprangera glavni predstavnik manirističkog načina slikanja, koje je prevladavalo kao moda na njem. dvorovima. Rutiner bez izrazitijih ličnih obilježja, konvencionalan portretist, koji spretno komponira figure u pokretu i primjenjuje efekte svijetla, prema uzoru Michelangela, Correggia i Tintoretta. Njegove slike i crteže reproducirali su mnogi tada&scaron;nji grafičari.<br /> LIT.:<em> R. A. Peltzer,</em> Der Hofmaler Hans von Aachen, seine Schule und seine Zeit, Jahrbuch der kunsthistorischen Sammlung in Wien, 1911&mdash;12.",,1
"ACHENBACH, Andreas",5,"<strong>ACHENBACH, 1. Andreas,</strong> njemački slikar (Kassel, 29. IX. 1815 &mdash; D&uuml;sseldorf, 1. IV. 1910). Studirao na akademiji u D&uuml;sseldorfu, gdje je živio od 1846. Slikar divlje, uznemirene, burne nordijske krajine, poznat po svojim mračnim &scaron;umskim pozadinama, dramatskim morskim olujama i patetičnim prikazima brodoloma. Jedan od prvih pejzažista d&uuml;sseldorfske &scaron;kole, koji je prekinuo s romantikom i približio realističkom izražavanju njem. pejzažno slikarstvo XIX<em> st.</em> Radio bakropise i litografije.<br /> DJELA:<em> Sajamski dan u Italiji; Veče u Scheveningenu; Luka u Ostendeu za vrijeme plime; Hardangerfjord; Oluja na moru; Na Sjevernom moru; Norve&scaron;ki pejzaž.<br /> </em><strong>2. Oswald,</strong> njemački slikar (D&uuml;sseldorf, 2. II. 1827&mdash;1. II. 1905). Učenik, a kasnije profesor na akademiji u D&uuml;sseldorfu. Slikao pejzaže s motivima iz Italije i Alpa izrazito koloristički, nastojeći povezati množinu točno zahvaćenih detalja u harmonične cjeline. Postepeno prelazi s naturalističkog na realistički način obradbe.",,1
"ACHENBACH, Oswald",5,"<strong>ACHENBACH, 1. Andreas,</strong> njemački slikar (Kassel, 29. IX. 1815 &mdash; D&uuml;sseldorf, 1. IV. 1910). Studirao na akademiji u D&uuml;sseldorfu, gdje je živio od 1846. Slikar divlje, uznemirene, burne nordijske krajine, poznat po svojim mračnim &scaron;umskim pozadinama, dramatskim morskim olujama i patetičnim prikazima brodoloma. Jedan od prvih pejzažista d&uuml;sseldorfske &scaron;kole, koji je prekinuo s romantikom i približio realističkom izražavanju njem. pejzažno slikarstvo XIX<em> st.</em> Radio bakropise i litografije.<br /> DJELA:<em> Sajamski dan u Italiji; Veče u Scheveningenu; Luka u Ostendeu za vrijeme plime; Hardangerfjord; Oluja na moru; Na Sjevernom moru; Norve&scaron;ki pejzaž.<br /> </em><strong>2. Oswald,</strong> njemački slikar (D&uuml;sseldorf, 2. II. 1827&mdash;1. II. 1905). Učenik, a kasnije profesor na akademiji u D&uuml;sseldorfu. Slikao pejzaže s motivima iz Italije i Alpa izrazito koloristički, nastojeći povezati množinu točno zahvaćenih detalja u harmonične cjeline. Postepeno prelazi s naturalističkog na realistički način obradbe.",,1
ACHEULÉEN,5,"<strong>ACHEUL&Eacute;EN,</strong> kultura donjeg paleolitika. Naziv nosi po lokalitetu Saint-Acheul kod Amiensa, Francuska. Karakteristično oruđe je ručni klin (&raquo;coup de poing&laquo;) amigdaloidnog oblika; predstavlja daljnji razvoj chell&eacute;enskog tipa, ali je od njega pravilniji, finije izrađen. A. se dijeli u nekoliko faza, od kojih je najpoznatija posljednja, micoquienska faza s malim kremenim oruđem; ova faza označuje prijelaz u srednji paleolitik. Oruđa acheul&eacute;enskog tipa pronađena su u Francuskoj, Engleskoj, sjev. Africi, Prednjem Istoku i Armeniji; nema ih u srednjoj Evropi ni na Balkanu.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Al. S.",,1
"ACHTSCHELLINCK, Luc(as)",6,"<strong>ACHTSCHELLINCK, Luc(as),</strong> flamanski slikar (Bruxelles, 16. I. 1626&mdash;12. V. 1699), učenik P. van der Borcha. Pejzažist, koji i religiozne motive radi kao pejzaže sa &scaron;tafažnim likovima iz Novog zavjeta i svetačkih legenda. Crtao kartone za tkaonice tapiserija u Bruxellesu.",,1
"ACIER, Michel-Victor",6,"<strong>ACIER, Michel-Victor,</strong> francuski kipar (Versailles, 20. I. 1736 &mdash; Dresden, 1795). Od 1764 radi u manufakturi porculana u Meissenu; graciozno komponirani erotički i realistički motivi <em>(Sretan otac; Sretna mati; Pet čula; Razbijeno ogledalo)</em> odražavaju duh rokokoa i ukus tada&scaron;njeg dru&scaron;tva.",,1
"АСКЕ, Johan Axel Gustaf",6,"<strong>ACKE, Johan Axel Gustaf,</strong> &scaron;vedski slikar i grafičar (Stockholm, 1. IV. 1859&mdash;1924). Studirao u Stockholmu i Parizu, putovao po Italiji, Belgiji, Nizozemskoj i Finskoj. Ranija ostvarenja u ulju i grafici realistički prikazuju teme iz seljačkog i ribarskog života. U kompozicijama i ilustracijama poslije 1898 glavni su motivi njegovih dekorativnih radova fantastičan svijet skandinavskih saga.",,1
"ACKERMAN, Paul",6,"<strong>ACKERMAN, Paul,</strong> francuski slikar rumunjskog podrijetla (Jassy, Rumunjska, 1908&mdash;). U Parizu boravi od 1912 i uči na <em>Acad&eacute;mie Moderne</em> (F. L&eacute;ger). Slika u novije vrijeme velike apstraktne kompozicije. Na platnu, pokrivenom &scaron;irokim mirnim plohama boja, ostvaruje inventivne grafičke kombinacije, u čemu se odražavaju reminiscencije na starije umjetnosti Istoka.",,1
"ACKERMANN, Max",6,"<strong>ACKERMANN, Max,</strong> njemački slikar i grafičar (Berlin, 5. X. 1887&mdash;). Slikarstvo uči kod H. van de Veldea u Weimaru (1906), zatim na akademiji u Dresdenu, 1909 kod F. Stucka u M&uuml;nchenu i kod A. H&ouml;lzela u Stuttgartu. Po zavr&scaron;etku studija boravi neko vrijeme u Parizu. Član je umjetničke grupe<em> Der Blaue Reiter.</em> God. 1930 postaje prof. na akademiji u Stuttgartu. Za vrijeme nacizma žigosan kao jedan od predstavnika &raquo;entartete Kunst&laquo;. A. nastoji brižljivim komponiranjem boja postići čim skladniji muzikalniji koloristički efekt. Svoj način naziva<em> apsolutno slikarstvo</em> i smatra, da su osnovna izražajna sredstva apstrakcije, jednako kao i kod muzike, harmonija i ritam.",,1
